country,year,household_credit_mio_eur,y_nominal_mio_eur,exports_mio_eur,imports_mio_eur,debt_ratio_latest,gdp_per_capita_eur,unemployment_rate,y_real,gc_real,gi_nominal_mio_eur,fiscal_T,household_credit_to_gdp,log_hh_credit_to_gdp,debt_raw,unemployment_raw,credit_resid_raw,output_gap_raw,gov_size_raw,gi_share_raw,pb_balance_raw,debt_z,unemployment_z,gov_size_z,gi_share_z,credit_resid_z,output_gap_z,pb_balance_z,liq_z_lag1,credit_resid_z_lag1,trade_z_lag1,debt_z_lag1,log_gdp_pc_z_lag1,output_gap_z_lag1,unemployment_z_lag1,pb_balance_z_lag1,gov_size_z_lag1,gi_share_z_lag1,hh_currency_deposits_assets_mio_eur,hh_currency_deposits_to_gdp,liq_fa_deposits_raw,tiva2022_cons_import_content_raw,tiva2022_avg_import_content_raw,tiva_cf2024_cons_import_content_raw,tiva_cf2024_gfcf_import_content_raw,tiva_cf2024_avg_import_content_raw,figaro2023_cons_import_content_raw,figaro2023_gfcf_import_content_raw,figaro2023_avg_import_content_raw,nominal_gdp_mio_eur,gdp_pc_current_pps,gdp_pc_real_index_2020,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,gdp_pc_2020_pps_anchor,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,hh_net_financial_worth_to_gdp,liq_fa_net_worth_raw,tiva2022_gfcf_import_content_raw,trade_raw,trade_z,liq_raw,liq_z,log_gdp_pc_raw,log_gdp_pc_z
AUT,1995,77151.9,183629.2,61818.8,64013.1,68.6,23100,,240726.7,52495.9,7211.1,0.498609154,0.420150499,-0.867142301,68.6,,,,0.218072611,0.039269898,0.498609154,0.166277616,,0.653144242,0.072798821,,,,,,,,,,,,,,138966.9,0.756779967,0.278682732,0.21268,0.292735,0.21268,0.37279,0.292735,,,,183629.2,19766.3,77.376,263150.2,77313,37385.6,28927.481856,10.2725473515,1.01202423144,-1.01202423144,0.37279,0.37279,-0.560650587936,-1.01202423144,0.169316841816,10.2725473515,0.162422883158
AUT,1996,78603.8,185944.9,64035.2,66998.9,68.6,23360,,246060.7,53062.6,6898.3,0.513902774,0.422726302,-0.861030349,68.6,,,,0.215648415,0.037098624,0.513902774,0.166277616,,0.579015,-0.127692304,,,,0.169316841816,,-0.560650587936,0.166277616,0.162422883158,,,,0.653144242,0.072798821,140514.4,0.755677623,0.280140419,0.22339,0.29898,0.22339,0.37457,0.29898,,,,185944.9,20696.5,78.984,270034.1,78738.9,37385.6,29528.642304,10.2931159968,1.02877357755,-1.02877357755,0.37457,0.37457,-0.542999890501,-1.02877357755,0.141022921611,10.2931159968,0.216033541019
AUT,1997,80310.9,186913,69558.6,71083.1,63.9,23460,,251340.7,54446.3,5592.5,0.500571924,0.429669953,-0.844737915,63.9,,,,0.216623492,0.029920337,0.500571924,0.037383201,,0.608831763,-0.790521106,,,,0.141022921611,,-0.542999890501,0.166277616,0.216033541019,,,,0.579015,-0.127692304,140906.6,0.753861957,0.282546008,0.2328,0.311295,0.2328,0.38979,0.311295,,,,186913,21167.6,80.588,276786.2,80487,37385.6,30128.307328,10.3132204516,1.05021694585,-1.05021694585,0.38979,0.38979,-0.392076511309,-1.05021694585,0.104799599952,10.3132204516,0.268434320369
AUT,1998,83088.1,193947,74789,75228,64.3,24310,,260119.7,56025,5711.3,0.498937854,0.428406214,-0.847683435,64.3,,,,0.215381611,0.029447736,0.498937854,0.048352939,,0.570856416,-0.834160196,,,,0.104799599952,,-0.392076511309,0.037383201,0.268434320369,,,,0.608831763,-0.790521106,145500.1,0.750205469,0.287408152,0.23878,0.3147,0.23878,0.39062,0.3147,,,,193947,22074.4,83.311,292742.3,83302.5,37385.6,31146.317216,10.3464512898,1.07988161714,-1.07988161714,0.39062,0.39062,-0.383846129921,-1.07988161714,0.0546883993741,10.3464512898,0.355048050681
AUT,1999,90439.8,203064.9,80229.6,79304.2,67.1,25410,,269905.2,57830,5853,0.497796517,0.445373868,-0.808841196,67.1,,,,0.214260414,0.028823297,0.497796517,0.125141101,,0.536571462,-0.891819595,,,,0.0546883993741,,-0.383846129921,0.048352939,0.355048050681,,,,0.570856416,-0.834160196,152071.4,0.748880777,0.289175485,0.23812,0.317285,0.23812,0.39645,0.317285,,,,203064.9,22982.2,86.277,310344.9,90688.7,37385.6,32255.174112,10.3814337469,1.08170442061,-1.08170442061,0.39645,0.39645,-0.32603513776,-1.08170442061,0.0516092191235,10.3814337469,0.44622724655
AUT,2000,96091.7,212406.8,92590.4,89745.1,66.6,26510,,278513.9,57938.4,5739.2,0.490429214,0.45239465,-0.79320036,66.6,,,,0.20802696,0.027019851,0.490429214,0.111428929,,0.345959287,-1.058346296,,,,0.0516092191235,,-0.32603513776,0.125141101,0.44622724655,,,,0.536571462,-0.891819595,153603.5,0.723157168,0.324128697,0.24925,0.33685,0.24925,0.42445,0.33685,,,,212406.8,24270.2,88.815,329557.7,96442.7,37385.6,33204.02064,10.4104262512,1.09749311227,-1.09749311227,0.42445,0.42445,-0.048383717432,-1.09749311227,0.0249380894414,10.4104262512,0.52179407178
AUT,2001,99828.5,219373.3,98392.9,94647.4,67.2,27280,,282181.9,57672.6,5409.2,0.511028006,0.455062216,-0.787321131,67.2,,,,0.204380933,0.024657513,0.511028006,0.127883535,,0.234467783,-1.276479865,,,,0.0249380894414,,-0.048383717432,0.111428929,0.52179407178,,,,0.345959287,-1.058346296,157895.4,0.719756689,0.328842056,0.25074,0.33781,0.25074,0.42488,0.33781,,,,219373.3,24465.8,89.641,337973,100207.2,37385.6,33512.825696,10.4196835011,1.08384110555,-1.08384110555,0.42488,0.42488,-0.0441197849056,-1.08384110555,0.0479998129483,10.4196835011,0.545922411411
AUT,2002,104428.1,225087.9,102755,94387.1,67.4,27850,,286370.5,58091.3,6113.8,0.501865271,0.463943642,-0.767992196,67.4,,,,0.202853646,0.027161833,0.501865271,0.133368404,,0.187765022,-1.045235901,,,,0.0479998129483,,-0.0441197849056,0.127883535,0.545922411411,,,,0.234467783,-1.276479865,163349.9,0.725716042,0.320596467,0.24682,0.32463,0.24682,0.40244,0.32463,,,,225087.9,25375.8,90.523,346450.1,104909.5,37385.6,33842.566688,10.4294746586,1.0730945555,-1.0730945555,0.40244,0.40244,-0.266637566054,-1.0730945555,0.0661534786175,10.4294746586,0.5714423416
AUT,2003,108063.9,230541.9,103342.1,96957.9,66.4,28400,,289639.7,58672,5988.6,0.499237232,0.468738654,-0.757709906,66.4,,,,0.202568916,0.025976189,0.499237232,0.10594406,,0.179058289,-1.154715925,,,,0.0661534786175,,-0.266637566054,0.133368404,0.5714423416,,,,0.187765022,-1.045235901,171850.9,0.745421548,0.293805384,0.24498,0.31915,0.24498,0.39332,0.31915,,,,230541.9,26256.2,91.149,367071.1,108603.3,37385.6,34076.600544,10.4363662267,1.12113156003,-1.12113156003,0.39332,0.39332,-0.357072600103,-1.12113156003,-0.0149932816306,10.4363662267,0.589404705794
AUT,2004,115185.4,240541.7,113581.9,106451.8,65.9,29440,,297069.7,59556.3,6022.2,0.493751395,0.478858343,-0.736350459,65.9,,,,0.200479214,0.025035992,0.493751395,0.092231889,,0.115157509,-1.241531895,,,,-0.0149932816306,,-0.357072600103,0.10594406,0.589404705794,,,,0.179058289,-1.154715925,175946.6,0.731459867,0.312712923,0.24611,0.32309,0.24611,0.40007,0.32309,,,,240541.7,27399.5,92.901,390141.3,115706.1,37385.6,34731.596256,10.4554051066,1.1409048826,-1.1409048826,0.40007,0.40007,-0.29013877556,-1.1409048826,-0.0483954698347,10.4554051066,0.639028142824
AUT,2005,131687.1,252354.9,123530.6,115385.8,69.4,30680,,303962.8,60781.9,7574.1,0.49084246,0.521832942,-0.650407776,69.4,,,,0.19996493,0.030013683,0.49084246,0.188217091,,0.099431263,-0.781901736,,,,-0.0483954698347,,-0.29013877556,0.092231889,0.639028142824,,,,0.115157509,-1.241531895,182401.1,0.722795951,0.324628322,0.25404,0.32339,0.25404,0.39274,0.32339,,,,252354.9,28495.1,94.412,428435.9,132673.1,37385.6,35296.492672,10.4715388803,1.17201132215,-1.17201132215,0.39274,0.39274,-0.362823950953,-1.17201132215,-0.10094218495,10.4715388803,0.681079634699
AUT,2006,140166.2,265933.7,136166.4,126538.1,68.2,32160,,313900.3,62858.5,7858.9,0.483113648,0.527071973,-0.640418168,68.2,,,,0.200249888,0.029552103,0.483113648,0.155307879,,0.108144976,-0.824523161,,,,-0.10094218495,,-0.362823950953,0.188217091,0.681079634699,,,,0.099431263,-0.781901736,186348.1,0.700731423,0.3556306,0.26122,0.33036,0.26122,0.3995,0.33036,,,,265933.7,29734.7,96.995,456961.1,141173,37385.6,36262.16272,10.4985301273,1.18746928276,-1.18746928276,0.3995,0.3995,-0.295790965188,-1.18746928276,-0.127054625467,10.4985301273,0.751430330596
AUT,2007,146343.8,282208.2,149261.3,136799,65.8,34020,,325750.8,63721.7,8572.9,0.483501542,0.518566789,-0.656686448,65.8,,,,0.195614869,0.030377927,0.483501542,0.089489454,,-0.033588823,-0.74826821,,,,-0.127054625467,,-0.295790965188,0.155307879,0.751430330596,,,,0.108144976,-0.824523161,197512.7,0.699882923,0.35684221,0.25992,0.330245,0.25992,0.40057,0.330245,,,,282208.2,30945.9,100.327,481859.7,147581.1,37385.6,37507.850912,10.5323055477,1.18451058474,-1.18451058474,0.40057,0.40057,-0.285180714483,-1.18451058474,-0.122056629419,10.5323055477,0.839463474165
AUT,2008,152934.5,291846.2,156424.9,143428.7,69.5,35070,,330484.9,66036.2,9658.7,0.488327756,0.524024298,-0.646217226,69.5,,,,0.199816088,0.033095171,0.488327756,0.190959526,,0.094879854,-0.49736322,,,,-0.122056629419,,-0.285180714483,0.089489454,0.839463474165,,,,-0.033588823,-0.74826821,210742.4,0.722100887,0.325590417,0.26384,0.33255,0.26384,0.40126,0.33255,,,,291846.2,31853.9,101.462,474801.7,154460.8,37385.6,37932.177472,10.5435550407,1.09763601513,-1.09763601513,0.40126,0.40126,-0.278338590196,-1.09763601513,0.0246966900391,10.5435550407,0.868784448397
AUT,2009,153705.7,286274.1,130217.3,120560.3,80.8,34320,5.7,318632.8,67308.9,9806.3,0.492164328,0.53691794,-0.621910008,80.8,5.7,,,0.211242848,0.034254933,0.492164328,0.500854609,-0.612700306,0.444297586,-0.390273166,,,,0.0246966900391,,-0.278338590196,0.190959526,0.868784448397,,,,0.094879854,-0.49736322,220040.3,0.768635025,0.263139032,0.24389,0.310455,0.24389,0.37702,0.310455,,,,286274.1,30722.4,97.59,510557.9,154950.1,37385.6,36484.60704,10.5046457257,1.24219340835,-1.24219340835,0.37702,0.37702,-0.518705391223,-1.24219340835,-0.219497639815,10.5046457257,0.767370186955
AUT,2010,161051.6,294050.6,151683,141323.4,83.7,35170,5.2,324396.9,67343.3,9673.8,0.488926396,0.547700294,-0.602027051,83.7,5.2,,,0.207595387,0.03289842,0.488926396,0.580385205,-0.726555369,0.332762252,-0.515530894,,,,-0.219497639815,,-0.518705391223,0.500854609,0.767370186955,,-0.612700306,,0.444297586,-0.390273166,222933.2,0.758145707,0.276879686,0.26485,0.33805,0.26485,0.41125,0.33805,0.23155679,0.388125783,0.309841286,294050.6,31605.6,99.123,533951.8,162388.1,37385.6,37057.728288,10.5202321997,1.26360463131,-1.26360463131,0.41125,0.41125,-0.179276529872,-1.26360463131,-0.255666659798,10.5202321997,0.807995182664
AUT,2011,164564.5,308167,167310.3,158653.7,83.4,36740,4.9,333893.5,67325.9,9393.5,0.488590926,0.53401078,-0.627339253,83.4,4.9,,,0.201638846,0.030481849,0.488590926,0.572157902,-0.794868407,0.150617774,-0.738672214,,,,-0.255666659798,,-0.179276529872,0.580385205,0.807995182664,,-0.726555369,,0.332762252,-0.515530894,228533.2,0.741588814,0.298960349,0.27879,0.353815,0.27879,0.42884,0.353815,0.239806968,0.398784503,0.319295736,308167,32928.8,101.69,538048,165813.9,37385.6,38017.41664,10.5457996663,1.20789734138,-1.20789734138,0.42884,0.42884,-0.00485194117352,-1.20789734138,-0.161562829952,10.5457996663,0.874634899716
AUT,2012,165143.7,316589.4,171988.8,163092,82.9,37570,5.2,335991.1,67290.6,9361.5,0.495766125,0.5216337,-0.650789662,82.9,5.2,,,0.200274948,0.029569847,0.495766125,0.55844573,-0.726555369,0.108911268,-0.822884718,,,,-0.161562829952,,-0.00485194117352,0.572157902,0.874634899716,,-0.794868407,,0.150617774,-0.738672214,232685.8,0.734976597,0.30791662,0.27863,0.35367,0.27863,0.42871,0.35367,0.244722705,0.40307081,0.323896758,316589.4,34099.8,101.87,562011.4,168853.1,37385.6,38084.71072,10.5475681871,1.24185553907,-1.24185553907,0.42871,0.42871,-0.00614103705361,-1.24185553907,-0.218926892377,10.5475681871,0.879244418817
AUT,2013,166168.2,321191.7,173089.6,164114.7,82.4,37890,5.7,335148.7,67752.1,9899,0.50435114,0.517348985,-0.659037613,82.4,5.7,,,0.202155342,0.030819601,0.50435114,0.544733559,-0.612700306,0.16641165,-0.707484887,,,,-0.218926892377,,-0.00614103705361,0.55844573,0.879244418817,,-0.726555369,,0.108911268,-0.822884718,236786.2,0.737211453,0.304880517,0.27899,0.35626,0.27899,0.43353,0.35626,0.244437694,0.397677177,0.321057435,321191.7,34310.4,101.004,586464.7,170244.7,37385.6,37760.951424,10.5390308166,1.2958616303,-1.2958616303,0.43353,0.43353,0.0416546717314,-1.2958616303,-0.310156963444,10.5390308166,0.856992391696
AUT,2014,170227.4,330113.5,177786.4,167171.4,85.2,38640,6,337681.8,68246.2,9921.9,0.504726708,0.515663249,-0.662301344,85.2,6,,,0.202102097,0.030056026,0.504726708,0.621521721,-0.544387269,0.164783492,-0.777991861,,,,-0.310156963444,,0.0416546717314,0.544733559,0.856992391696,,-0.612700306,,0.16641165,-0.707484887,244095.2,0.739428106,0.301878222,0.27171,0.3439,0.27171,0.41609,0.3439,0.243678888,0.39487395,0.319276419,330113.5,34668.5,100.973,610298.6,173702.5,37385.6,37749.361888,10.5387238509,1.32256360312,-1.32256360312,0.41609,0.41609,-0.131282498644,-1.32256360312,-0.355263410201,10.5387238509,0.856192308364
AUT,2015,175509.9,342083.5,182659,170089.3,85.6,39640,6.1,342083.5,68856.5,10239.7,0.507388985,0.513061577,-0.667359408,85.6,6.1,,,0.201285651,0.029933335,0.507388985,0.632491458,-0.521616256,0.139817463,-0.789320922,,,,-0.355263410201,,-0.131282498644,0.621521721,0.856192308364,,-0.544387269,,0.164783492,-0.777991861,251653.5,0.735649337,0.307001718,0.26376,0.33919,0.26376,0.41462,0.33919,0.239158581,0.396469349,0.317813965,342083.5,35681.9,101.275,626126.2,178977.9,37385.6,37862.2664,10.5417102856,1.30713203063,-1.30713203063,0.41462,0.41462,-0.145859198211,-1.30713203063,-0.329195545942,10.5417102856,0.863976230321
AUT,2016,181361.5,355665.6,187305.6,173956.4,83.4,40690,6.5,349326.2,69836.1,10642.4,0.491883387,0.509921398,-0.673498687,83.4,6.5,,,0.199916582,0.029922489,0.491883387,0.572157902,-0.430532206,0.097952845,-0.79032242,,,,-0.329195545942,,-0.145859198211,0.632491458,0.863976230321,,-0.521616256,,0.139817463,-0.789320922,263040.3,0.739571946,0.301683711,0.26177,0.336975,0.26177,0.41218,0.336975,0.233793332,0.405612749,0.31970304,355665.6,36385.1,102.114,652006.4,184407.5,37385.6,38175.931584,10.5499605328,1.31471500196,-1.31471500196,0.41218,0.41218,-0.170054536268,-1.31471500196,-0.342005119776,10.5499605328,0.885479891379
AUT,2017,184475.1,367294.9,199536.7,188165.3,79.1,41760,5.9,357263.8,70265.5,11421.2,0.490453039,0.502253366,-0.688650573,79.1,5.9,,,0.196676797,0.031095449,0.490453039,0.454233225,-0.567158281,-0.001116215,-0.682013576,,,,-0.342005119776,,-0.170054536268,0.572157902,0.885479891379,,-0.430532206,,0.097952845,-0.79032242,271041.9,0.737940821,0.303891646,0.26812,0.348565,0.26812,0.42901,0.348565,0.238960141,0.419439586,0.329199863,367294.9,37012.2,103.778,685145.3,187600.9,37385.6,38798.027968,10.5661246988,1.35461831896,-1.35461831896,0.42901,0.42901,-0.00316620040724,-1.35461831896,-0.40941200598,10.5661246988,0.927610598505
AUT,2018,189750.6,383234.3,213470.1,201871.5,74.6,43360,5.2,366139,70955.2,11820,0.493879332,0.495129481,-0.702935973,74.6,5.2,,,0.193793068,0.030842751,0.493879332,0.330823678,-0.726555369,-0.089297499,-0.705347272,,,,-0.40941200598,,-0.00316620040724,0.454233225,0.927610598505,,-0.567158281,,-0.001116215,-0.682013576,282344.8,0.736741988,0.305517532,0.27361,0.359005,0.27361,0.4444,0.359005,0.24263176,0.418609664,0.330620712,383234.3,38419.4,105.843,697300.7,193225.7,37385.6,39570.040608,10.5858275606,1.31531807043,-1.31531807043,0.4444,0.4444,0.149442919551,-1.31531807043,-0.343023856343,10.5858275606,0.9789646556
AUT,2019,195448,395706.8,221183.5,207000.1,71,44570,4.8,372564.6,71854,12415.2,0.496103428,0.493921257,-0.705379174,71,4.8,,,0.192863197,0.031374745,0.496103428,0.232096041,-0.81763942,-0.117731908,-0.656223966,,,,-0.343023856343,,0.149442919551,0.330823678,0.9789646556,,-0.726555369,,-0.089297499,-0.705347272,292276,0.738617583,0.302974972,0.2726,0.35691,0.2726,0.44122,0.35691,0.24016109,0.41305327,0.32660718,395706.8,39263.8,107.216,732700.7,199546.8,37385.6,40083.344896,10.5987161878,1.34734581261,-1.34734581261,0.44122,0.44122,0.1179096511,-1.34734581261,-0.397126886724,10.5987161878,1.01255791223
AUT,2020,200809.8,380317.9,196484,183637,83.2,42650,6,349025.1,71266.5,12646.9,0.491084695,0.528005124,-0.638649291,83.2,6,,,0.204187321,0.033253497,0.491084695,0.566673034,-0.544387269,0.228547329,-0.48274378,,,,-0.397126886724,,0.1179096511,0.232096041,1.01255791223,,-0.81763942,,-0.117731908,-0.656223966,313789.1,0.825070553,0.192286378,0.26744,0.34402,0.26744,0.4206,0.34402,0.232878685,0.400004404,0.316441545,380317.9,37385.6,100,781127.4,205409.3,37385.6,37385.6,10.5290408825,1.51378123407,-1.51378123407,0.4206,0.4206,-0.0865607877271,-1.51378123407,-0.678278789818,10.5290408825,0.830954365027
AUT,2021,209978.1,406231.5,227302.5,223748.2,82.4,45380,6.2,366207.9,76776.5,14551,0.503330244,0.516892708,-0.659919955,82.4,6.2,,,0.209652768,0.035819477,0.503330244,0.544733559,-0.498845244,0.395674709,-0.245806208,,,,-0.678278789818,,-0.0865607877271,0.566673034,0.830954365027,,-0.544387269,,0.228547329,-0.48274378,326636.3,0.804064431,0.218075875,0.289,0.368305,0.289,0.44761,0.368305,0.251694059,0.418498038,0.335096049,406231.5,40185.6,104.517,845154.7,214351.7,37385.6,39074.307552,10.5732204341,1.55281655903,-1.55281655903,0.44761,0.44761,0.181273671668,-1.55281655903,-0.744219415948,10.5732204341,0.946105109736
AUT,2022,216475.4,449382.2,276043.4,279301.2,78.1,49640,4.8,385730.3,76779.2,15463.2,0.495546998,0.481717789,-0.730396835,78.1,4.8,,,0.199048921,0.034409908,0.495546998,0.426808881,-0.81763942,0.071420717,-0.375963077,,,,-0.744219415948,,0.181273671668,0.544733559,0.946105109736,,-0.498845244,,0.395674709,-0.245806208,331416.9,0.737494498,0.304496651,0.31068,0.388645,0.31068,0.46661,0.388645,0.266454974,0.443597261,0.355026118,449382.2,44569.5,108.856,840005.1,220907.9,37385.6,40696.468736,10.6138966044,1.37766293369,-1.37766293369,0.46661,0.46661,0.369679992604,-1.37766293369,-0.448340241514,10.6138966044,1.05212454927
AUT,2023,213228.4,477837.3,279471.6,270772,77.8,52330,5.1,382697.5,77277.9,17662.3,0.497492975,0.446236407,-0.806906406,,5.1,,,0.201929461,0.036963,0.497492975,,-0.749326382,0.159504472,-0.140215614,,,,-0.448340241514,,0.369679992604,0.426808881,1.05212454927,,-0.81763942,,0.071420717,-0.375963077,333252.3,0.697417929,0.360370437,,,0.31068,0.46661,0.388645,0.255114116,0.428441962,0.341778039,477837.3,46390.3,107.08,874348.7,217843.5,37385.6,40032.50048,10.5974469152,1.3739094876,-1.3739094876,,,,,,,
AUT,2024,211851.6,494087.6,275099.5,262595.1,80,53830,5.2,380175.2,80226.1,19443.1,0.506466465,0.428773359,-0.8468268,,5.2,,,0.211024023,0.039351524,0.506466465,,-0.726555369,0.437606159,0.080335972,,,,,,,,,,-0.749326382,,0.159504472,-0.140215614,350202.3,0.708785851,0.344201842,,,0.31068,0.46661,0.388645,,,,494087.6,47527.5,105.827,922515.9,216925.7,37385.6,39564.058912,10.5856763819,1.42806700674,-1.42806700674,,,,,,,
BEL,1995,82955.1,220251.5,132402.8,123922.7,131.5,21730,,287871.3,72812.8,4888.3,0.481365167,0.376638071,-0.976470578,131.5,,,,0.252935253,0.022194173,0.481365167,1.891268831,,1.719205495,-1.503939755,,,,,,,,,,,,,,157372.4,0.714512273,0.336155104,0.27531,0.35479,0.27531,0.43427,0.35479,,,,220251.5,18796.6,77.286,575733.9,89542.9,35850.5,27707.41743,10.2294554336,2.20743559068,-2.20743559068,0.43427,0.43427,0.0489926021257,-2.20743559068,-1.85003802675,10.2294554336,0.0501069754393
BEL,1996,84926,219965.3,134602,127624.7,129.2,21660,,291675.4,73918.1,4572.6,0.490496001,0.386088169,-0.951689518,129.2,,,,0.253425897,0.020787824,0.490496001,1.828192841,,1.734208872,-1.633799253,,,,-1.85003802675,,0.0489926021257,1.891268831,0.0501069754393,,,,1.719205495,-1.503939755,160686.3,0.730507494,0.31401579,0.27932,0.36716,0.27932,0.455,0.36716,,,,219965.3,19271.7,78.155,600789.3,91262.1,35850.5,28018.958275,10.2406366413,2.31639808643,-2.31639808643,0.455,0.455,0.25455381439,-2.31639808643,-2.03410349056,10.2406366413,0.0792499691334
BEL,1997,89273.3,223032.7,144495.3,135832.2,124.3,21910,,302740.6,74817.3,4708.6,0.494504169,0.400270005,-0.915615946,124.3,,,,0.247133354,0.021111702,0.494504169,1.693813557,,1.541789826,-1.603892983,,,,-2.03410349056,,0.25455381439,1.828192841,0.0792499691334,,,,1.734208872,-1.633799253,169142.8,0.758376686,0.276575069,0.28614,0.373375,0.28614,0.46061,0.373375,,,,223032.7,19857.5,80.928,637177.4,95855.5,35850.5,29013.09264,10.2755024774,2.42709656476,-2.42709656476,0.46061,0.46061,0.310183259677,-2.42709656476,-2.22110147201,10.2755024774,0.170125200999
BEL,1998,97119.2,231015.7,148252.8,139844.9,119.3,22640,,308679.8,76111.9,4755.8,0.499344417,0.420400865,-0.866546584,119.3,,,,0.246572338,0.02058648,0.499344417,1.556691839,,1.524634562,-1.652391018,,,,-2.22110147201,,0.310183259677,1.693813557,0.170125200999,,,,1.541789826,-1.603892983,171391.9,0.741905853,0.298532926,0.28596,0.37336,0.28596,0.46076,0.37336,,,,231015.7,20277.9,82.34,672222.1,99255,35850.5,29519.3017,10.2927996233,2.48020848799,-2.48020848799,0.46076,0.46076,0.311670678,-2.48020848799,-2.31082106513,10.2927996233,0.21520893666
BEL,1999,101994.7,242307.6,156441.2,146855.2,115.4,23690,,319615.5,77926.8,5695.5,0.498483745,0.420930668,-0.865287142,115.4,,,,0.243814208,0.023505247,0.498483745,1.449736899,,1.440293977,-1.38287782,,,,-2.31082106513,,0.311670678,1.556691839,0.21520893666,,,,1.524634562,-1.652391018,171564.2,0.708043,0.345250453,0.2828,0.369975,0.2828,0.45715,0.369975,,,,242307.6,21261.2,85.057,739092.7,104869.4,35850.5,30493.359785,10.3252642269,2.61743048918,-2.61743048918,0.45715,0.45715,0.275873477022,-2.61743048918,-2.54262404577,10.3252642269,0.299825533014
BEL,2000,104574.5,256376.4,185994.4,178650.1,109.7,25010,,331494.6,79768.9,6098,0.493190091,0.407894408,-0.896746941,109.7,,,,0.240634086,0.023785341,0.493190091,1.29341814,,1.343049335,-1.357014535,,,,-2.54262404577,,0.275873477022,1.449736899,0.299825533014,,,,1.440293977,-1.38287782,171925.8,0.670599166,0.399583689,0.30829,0.39913,0.30829,0.48997,0.39913,,,,256376.4,23085.2,88.005,741634,107165.8,35850.5,31550.232525,10.359336238,2.47475274635,-2.47475274635,0.48997,0.48997,0.601320606135,-2.47475274635,-2.30160492512,10.359336238,0.388631718334
BEL,2001,103376.6,264334.9,189295.4,179654.9,108.5,25700,,335139.8,81463.4,5606.3,0.496122154,0.391081919,-0.938838229,108.5,,,,0.243072891,0.02120908,0.496122154,1.260508927,,1.417625311,-1.594901348,,,,-2.30160492512,,0.601320606135,1.29341814,0.388631718334,,,,1.343049335,-1.357014535,173487.6,0.656317422,0.421110733,0.30633,0.397905,0.30633,0.48948,0.397905,,,,264334.9,23836.8,88.667,752582.4,105863.9,35850.5,31787.562835,10.3668303864,2.44658764318,-2.44658764318,0.48948,0.48948,0.596461706279,-2.44658764318,-2.2540268778,10.3668303864,0.408164663883
BEL,2002,107535.2,273255.9,193550.7,178310,105.6,26450,,340860.3,84145.1,5641.8,0.498598566,0.393532948,-0.932590483,105.6,,,,0.246860957,0.020646581,0.498598566,1.180978331,,1.533460224,-1.646841401,,,,-2.2540268778,,0.596461706279,1.260508927,0.408164663883,,,,1.417625311,-1.594901348,182984.1,0.66964373,0.401009455,0.29415,0.38495,0.29415,0.47575,0.38495,,,,273255.9,24827,89.777,712681,109776.3,35850.5,32185.503385,10.3792714247,2.20637395204,-2.20637395204,0.47575,0.47575,0.460313349097,-2.20637395204,-1.84824464815,10.3792714247,0.440591313095
BEL,2003,111191.9,281200.2,194130.8,179065.6,101.8,27100,,344398.2,85716,5890.5,0.491832154,0.395418993,-0.927809334,101.8,,,,0.248886318,0.020947709,0.491832154,1.076765825,,1.595393531,-1.619035801,,,,-1.84824464815,,0.460313349097,1.180978331,0.440591313095,,,,1.533460224,-1.646841401,197488.5,0.702305688,0.353386516,0.29031,0.37662,0.29031,0.46293,0.37662,,,,281200.2,25401.6,90.33,748402.8,114579.1,35850.5,32383.75665,10.3854122381,2.25399448507,-2.25399448507,0.46293,0.46293,0.333188663075,-2.25399448507,-1.92868788175,10.3854122381,0.45659689052
BEL,2004,120275.2,296819.7,210463.8,195937,97.2,28480,,356697.4,87776.5,5975.9,0.490801992,0.405212996,-0.903342433,97.2,,,,0.246081132,0.020133098,0.490801992,0.950613844,,1.509614023,-1.694255412,,,,-1.92868788175,,0.333188663075,1.076765825,0.45659689052,,,,1.595393531,-1.619035801,219517.5,0.73956513,0.301692928,0.29319,0.38347,0.29319,0.47375,0.38347,,,,296819.7,26199.1,93.152,812085.6,124130.3,35850.5,33395.45776,10.4161751745,2.31775485252,-2.31775485252,0.47375,0.47375,0.440481104788,-2.31775485252,-2.03639541477,10.4161751745,0.53677821665
BEL,2005,134234.7,310037.6,230304.7,217789.7,95.2,29590,,364979,88096.1,6401.6,0.491469744,0.432962647,-0.83710382,95.2,,,,0.241373065,0.020647818,0.491469744,0.895765157,,1.365646517,-1.646727136,,,,-2.03639541477,,0.440481104788,0.950613844,0.53677821665,,,,1.509614023,-1.694255412,234681.2,0.756944319,0.278465583,0.28948,0.387225,0.28948,0.48497,0.387225,,,,310037.6,27176.8,94.792,885941.2,137885.7,35850.5,33983.40596,10.4336276245,2.41278961003,-2.41278961003,0.48497,0.48497,0.551739995362,-2.41278961003,-2.19693337417,10.4336276245,0.582266740991
