spec_id,features,draw_id,status,K_Y_h8,K_G_h8
investment_import_content,trade,0,OK,2.135030023,0.668503543
investment_import_content,trade,1,OK,2.446826247,0.670350092
investment_import_content,trade,2,OK,0.775626784,0.549607912
investment_import_content,trade,3,OK,2.903965599,0.648354975
investment_import_content,trade,4,OK,1.771509689,0.669831014
investment_import_content,trade,5,OK,2.209045358,0.889693046
investment_import_content,trade,6,OK,2.573389401,0.748334589
investment_import_content,trade,7,OK,2.951459122,0.751405679
investment_import_content,trade,8,OK,1.233194292,0.687852686
investment_import_content,trade,9,OK,2.092731268,0.778565962
investment_import_content,trade,10,OK,2.086317030,0.768708662
investment_import_content,trade,11,OK,1.953868089,0.697777769
investment_import_content,trade,12,OK,2.032855851,0.729684802
investment_import_content,trade,13,OK,1.550770957,0.673338007
investment_import_content,trade,14,OK,2.120578924,0.712168566
investment_import_content,trade,15,OK,2.331006884,0.678227948
investment_import_content,trade,16,OK,2.695867808,0.714452626
investment_import_content,trade,17,OK,2.305444815,0.823409741
investment_import_content,trade,18,OK,1.466460972,0.562317928
public_debt,debt,0,OK,1.035486679,0.618660140
public_debt,debt,1,OK,1.445182583,0.742810073
public_debt,debt,2,OK,2.097992225,0.747475292
public_debt,debt,3,OK,2.106365235,0.769056403
public_debt,debt,4,OK,1.808937086,0.766596919
public_debt,debt,5,OK,1.567553885,0.817082014
public_debt,debt,6,OK,0.590259743,0.676767676
public_debt,debt,7,OK,0.862704393,0.696851333
public_debt,debt,8,OK,1.623228706,0.872878411
public_debt,debt,9,OK,0.903454525,0.780414538
public_debt,debt,10,OK,2.152840402,0.735467144
public_debt,debt,11,OK,1.339674865,0.799217392
public_debt,debt,12,OK,2.737678254,0.855598016
public_debt,debt,13,OK,1.277032761,0.694533865
public_debt,debt,14,OK,1.339345842,0.677471432
public_debt,debt,15,OK,1.273151050,0.696833174
public_debt,debt,16,OK,2.121526315,0.830844611
public_debt,debt,17,OK,1.021472756,0.611950886
public_debt,debt,18,OK,0.936651010,0.695234779
household_net_financial_worth,liq,0,OK,1.867569233,0.882833253
household_net_financial_worth,liq,1,OK,2.915226990,0.784952042
household_net_financial_worth,liq,2,OK,1.872153262,0.674795549
household_net_financial_worth,liq,3,OK,2.947704747,0.726214683
household_net_financial_worth,liq,4,OK,2.276705873,0.726404682
household_net_financial_worth,liq,5,OK,2.657116950,0.836981123
household_net_financial_worth,liq,6,OK,1.915475100,0.723412812
household_net_financial_worth,liq,7,OK,2.349025986,0.715323596
household_net_financial_worth,liq,8,OK,2.174275343,0.604403543
household_net_financial_worth,liq,9,OK,2.688619888,0.769532953
household_net_financial_worth,liq,10,OK,2.483691696,0.878051560
household_net_financial_worth,liq,11,OK,2.045017672,0.731961983
household_net_financial_worth,liq,12,OK,1.714272034,0.602018574
household_net_financial_worth,liq,13,OK,2.622536608,0.719618613
household_net_financial_worth,liq,14,OK,2.117867854,0.641287618
household_net_financial_worth,liq,15,OK,2.338900619,0.786395652
household_net_financial_worth,liq,16,OK,0.254967657,0.660161409
household_net_financial_worth,liq,17,OK,1.749050884,0.609605676
household_net_financial_worth,liq,18,OK,2.255069130,0.881869102
real_ppp_income,log_gdp_pc,0,OK,0.615246241,0.653791280
real_ppp_income,log_gdp_pc,1,OK,0.924960434,0.668299366
real_ppp_income,log_gdp_pc,2,OK,1.104563162,0.726692224
real_ppp_income,log_gdp_pc,3,OK,0.448166294,0.736847971
real_ppp_income,log_gdp_pc,4,OK,0.902720597,0.763277529
real_ppp_income,log_gdp_pc,5,OK,1.632195550,0.797867332
real_ppp_income,log_gdp_pc,6,OK,0.542250854,0.669918556
real_ppp_income,log_gdp_pc,7,OK,0.287219172,0.529689243
real_ppp_income,log_gdp_pc,8,OK,1.262409982,0.738934501
real_ppp_income,log_gdp_pc,9,OK,-0.311237693,0.644683342
real_ppp_income,log_gdp_pc,10,OK,1.301494027,0.757671609
real_ppp_income,log_gdp_pc,11,OK,0.674287702,0.595227538
real_ppp_income,log_gdp_pc,12,OK,0.759356124,0.676334180
real_ppp_income,log_gdp_pc,13,OK,0.491602540,0.694656944
real_ppp_income,log_gdp_pc,14,OK,1.350352948,0.588259859
real_ppp_income,log_gdp_pc,15,OK,0.836539125,0.721022252
real_ppp_income,log_gdp_pc,16,OK,1.005713574,0.640180029
real_ppp_income,log_gdp_pc,17,OK,1.015543013,0.678834730
real_ppp_income,log_gdp_pc,18,OK,1.257645981,0.722928449
investment_import_content__public_debt,trade+debt,0,OK,1.328716998,0.655248773
investment_import_content__public_debt,trade+debt,1,OK,1.210950377,0.682823293
investment_import_content__public_debt,trade+debt,2,OK,1.776909518,0.658733891
investment_import_content__public_debt,trade+debt,3,OK,0.736680411,0.622754107
investment_import_content__public_debt,trade+debt,4,OK,1.837460469,0.665529777
investment_import_content__public_debt,trade+debt,5,OK,1.413330857,0.599073717
investment_import_content__public_debt,trade+debt,6,OK,1.773051407,0.692731060
investment_import_content__public_debt,trade+debt,7,OK,1.324139352,0.592338871
investment_import_content__public_debt,trade+debt,8,OK,1.893974020,0.684713612
investment_import_content__public_debt,trade+debt,9,OK,1.200992725,0.670817209
investment_import_content__public_debt,trade+debt,10,OK,1.206283653,0.662133751
investment_import_content__public_debt,trade+debt,11,OK,1.345741593,0.715302819
investment_import_content__public_debt,trade+debt,12,OK,1.295207750,0.656235086
investment_import_content__public_debt,trade+debt,13,OK,1.344801479,0.649002518
investment_import_content__public_debt,trade+debt,14,OK,1.557465406,0.748825318
investment_import_content__public_debt,trade+debt,15,OK,1.386107103,0.616939358
investment_import_content__public_debt,trade+debt,16,OK,0.630616688,0.606992857
investment_import_content__public_debt,trade+debt,17,OK,0.655667431,0.622990962
investment_import_content__public_debt,trade+debt,18,OK,1.270885147,0.645213050
investment_import_content__household_net_financial_worth,trade+liq,0,OK,3.310814217,0.866592746
investment_import_content__household_net_financial_worth,trade+liq,1,OK,2.289221460,0.646793241
investment_import_content__household_net_financial_worth,trade+liq,2,OK,3.046921448,0.755425446
investment_import_content__household_net_financial_worth,trade+liq,3,OK,1.831712896,0.760255804
investment_import_content__household_net_financial_worth,trade+liq,4,OK,2.282770800,0.636583253
investment_import_content__household_net_financial_worth,trade+liq,5,OK,3.297262976,0.850532024
investment_import_content__household_net_financial_worth,trade+liq,6,OK,2.731541082,0.921433727
investment_import_content__household_net_financial_worth,trade+liq,7,OK,1.394417397,0.461394438
investment_import_content__household_net_financial_worth,trade+liq,8,OK,1.730182024,0.654212759
investment_import_content__household_net_financial_worth,trade+liq,9,OK,1.630143475,0.634789681
investment_import_content__household_net_financial_worth,trade+liq,10,OK,0.847563693,0.536420291
investment_import_content__household_net_financial_worth,trade+liq,11,OK,1.699366671,0.721742001
investment_import_content__household_net_financial_worth,trade+liq,12,OK,2.153768740,0.697369053
investment_import_content__household_net_financial_worth,trade+liq,13,OK,1.989625110,0.635098081
investment_import_content__household_net_financial_worth,trade+liq,14,OK,1.873922768,0.680852469
investment_import_content__household_net_financial_worth,trade+liq,15,OK,1.221047864,0.618217322
investment_import_content__household_net_financial_worth,trade+liq,16,OK,1.579590180,0.725267165
investment_import_content__household_net_financial_worth,trade+liq,17,OK,2.191789933,0.740266846
investment_import_content__household_net_financial_worth,trade+liq,18,OK,1.419602272,0.430244432
investment_import_content__real_ppp_income,trade+log_gdp_pc,0,OK,1.369446227,0.654230685
investment_import_content__real_ppp_income,trade+log_gdp_pc,1,OK,0.629997297,0.613210006
investment_import_content__real_ppp_income,trade+log_gdp_pc,2,OK,1.455271071,0.590723036
investment_import_content__real_ppp_income,trade+log_gdp_pc,3,OK,0.150830136,0.532768381
investment_import_content__real_ppp_income,trade+log_gdp_pc,4,OK,0.803199885,0.702313001
investment_import_content__real_ppp_income,trade+log_gdp_pc,5,OK,0.552701020,0.573817807
investment_import_content__real_ppp_income,trade+log_gdp_pc,6,OK,0.658167857,0.664745635
investment_import_content__real_ppp_income,trade+log_gdp_pc,7,OK,0.546215986,0.613999550
investment_import_content__real_ppp_income,trade+log_gdp_pc,8,OK,-0.272816895,0.541433928
investment_import_content__real_ppp_income,trade+log_gdp_pc,9,OK,0.786661030,0.617002117
investment_import_content__real_ppp_income,trade+log_gdp_pc,10,OK,0.877507226,0.627438390
investment_import_content__real_ppp_income,trade+log_gdp_pc,11,OK,1.074561962,0.656513993
investment_import_content__real_ppp_income,trade+log_gdp_pc,12,OK,1.471867008,0.671625860
investment_import_content__real_ppp_income,trade+log_gdp_pc,13,OK,0.558976209,0.547653334
investment_import_content__real_ppp_income,trade+log_gdp_pc,14,OK,0.263703971,0.617205558
investment_import_content__real_ppp_income,trade+log_gdp_pc,15,OK,0.577878226,0.586542379
investment_import_content__real_ppp_income,trade+log_gdp_pc,16,OK,0.121554174,0.623923963
investment_import_content__real_ppp_income,trade+log_gdp_pc,17,OK,0.343879499,0.520250391
investment_import_content__real_ppp_income,trade+log_gdp_pc,18,OK,0.565203226,0.639718943
public_debt__household_net_financial_worth,debt+liq,0,OK,1.791982903,0.707400259
public_debt__household_net_financial_worth,debt+liq,1,OK,1.238701417,0.606169409
public_debt__household_net_financial_worth,debt+liq,2,OK,2.047420350,0.721085260
public_debt__household_net_financial_worth,debt+liq,3,OK,1.140544377,0.779451308
public_debt__household_net_financial_worth,debt+liq,4,OK,1.686722700,0.660734983
public_debt__household_net_financial_worth,debt+liq,5,OK,2.458643158,0.658394551
public_debt__household_net_financial_worth,debt+liq,6,OK,1.292227682,0.775401026
public_debt__household_net_financial_worth,debt+liq,7,OK,1.284884406,0.678994609
public_debt__household_net_financial_worth,debt+liq,8,OK,0.767267301,0.533011587
public_debt__household_net_financial_worth,debt+liq,9,OK,2.400819621,0.679784365
public_debt__household_net_financial_worth,debt+liq,10,OK,1.634241170,0.702131029
public_debt__household_net_financial_worth,debt+liq,11,OK,1.336173339,0.848455997
public_debt__household_net_financial_worth,debt+liq,12,OK,1.627150118,0.623846977
public_debt__household_net_financial_worth,debt+liq,13,OK,1.978322176,0.660849820
public_debt__household_net_financial_worth,debt+liq,14,OK,0.351968016,0.620698252
public_debt__household_net_financial_worth,debt+liq,15,OK,1.303842127,0.600365297
public_debt__household_net_financial_worth,debt+liq,16,OK,2.795136312,0.628824438
public_debt__household_net_financial_worth,debt+liq,17,OK,2.472330694,0.755771945
public_debt__household_net_financial_worth,debt+liq,18,OK,1.820548326,0.587513699
public_debt__real_ppp_income,debt+log_gdp_pc,0,OK,0.426054423,0.609580999
public_debt__real_ppp_income,debt+log_gdp_pc,1,OK,1.353851275,0.790049386
public_debt__real_ppp_income,debt+log_gdp_pc,2,OK,0.734653159,0.840604832
public_debt__real_ppp_income,debt+log_gdp_pc,3,OK,0.947116672,0.761713155
public_debt__real_ppp_income,debt+log_gdp_pc,4,OK,0.051492868,0.878388839
public_debt__real_ppp_income,debt+log_gdp_pc,5,OK,0.639000181,0.615575734
public_debt__real_ppp_income,debt+log_gdp_pc,6,OK,0.289732622,0.656560016
public_debt__real_ppp_income,debt+log_gdp_pc,7,OK,0.286258920,0.783970535
public_debt__real_ppp_income,debt+log_gdp_pc,8,OK,0.751737007,0.700302769
public_debt__real_ppp_income,debt+log_gdp_pc,9,OK,0.961010580,0.776117697
public_debt__real_ppp_income,debt+log_gdp_pc,10,OK,0.040673718,0.693497396
public_debt__real_ppp_income,debt+log_gdp_pc,11,OK,0.583637639,0.656980984
public_debt__real_ppp_income,debt+log_gdp_pc,12,OK,0.461166300,0.748138133
public_debt__real_ppp_income,debt+log_gdp_pc,13,OK,0.564502080,0.791865346
public_debt__real_ppp_income,debt+log_gdp_pc,14,OK,0.556469834,0.844403263
public_debt__real_ppp_income,debt+log_gdp_pc,15,OK,1.636682556,0.806180777
public_debt__real_ppp_income,debt+log_gdp_pc,16,OK,1.638348459,0.836951399
public_debt__real_ppp_income,debt+log_gdp_pc,17,OK,0.354164813,0.671266407
public_debt__real_ppp_income,debt+log_gdp_pc,18,OK,1.818899796,0.707653052
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,0,OK,0.352080577,0.622187446
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,1,OK,0.093840452,0.453287552
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,2,OK,0.065516969,0.637813948
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,3,OK,-0.243723287,0.609704482
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,4,OK,1.109063216,0.608377229
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,5,OK,0.923743364,0.708924124
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,6,OK,-0.000467324,0.742273188
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,7,OK,0.529787769,0.740777248
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,8,OK,1.684909136,0.616843632
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,9,OK,-0.358310397,0.573855253
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,10,OK,0.406698579,0.606155577
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,11,OK,-0.354560251,0.727349772
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,12,OK,0.437280190,0.469369702
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,13,OK,0.066983109,0.697568197
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,14,OK,-0.758784093,0.749859546
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,15,OK,-0.551184488,0.548312893
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,16,OK,1.339878963,0.817591383
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,17,OK,0.126031621,0.706016092
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,18,OK,0.808838843,0.806416679
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,0,OK,1.029193388,0.602049332
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,1,OK,0.678365104,0.644437385
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,2,OK,1.727538400,0.651639996
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,3,OK,2.552852725,0.715443656
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,4,OK,0.406975662,0.650650946
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,5,OK,0.803098371,0.696717739
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,6,OK,1.333552294,0.664729572
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,7,OK,0.991065556,0.593218616
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,8,OK,1.732809821,0.919526516
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,9,OK,1.476484114,0.515431659
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,10,OK,1.150430824,0.723099935
