check,status,detail
full_download_zip_exists,PASS,docs/downloads/full_repro_package_20260521.zip files=220 bytes=1707835
full_download_sha256_matches,PASS,73d264568013196d3214684462d8d845b0a2d7c865baa84905004aefe466a029
separate_frozen_data_zip_removed,PASS,already_absent
full_download_excludes_downloads_and_jupyterlite_build,PASS,docs/downloads and docs/lite are excluded from the archive payload
reader_facing_download_members_use_semantic_labels,PASS,none
public_code_avoids_project_state_labels,PASS,none
all_text_archive_members_avoid_project_state_labels,PASS,scanned=212; bad=none
recomputed_model_inputs_readme_is_runtime_output,PASS,results/recomputed/model_inputs/README.md
